id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20041212:D1	BFSA:LTBCC:20041212:D1	BFSA:LTBCC:20041212	Total Count	20	hectare	42 observer-minutes	2004/12/12	13:18+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041212:D2	BFSA:LTBCC:20041212:D2	BFSA:LTBCC:20041212	Total Count	20	hectare	45 observer-minutes	2004/12/12	14:00+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041219:M1	BFSA:LTBCC:20041219:M1	BFSA:LTBCC:20041219	Total Count	98	hectare	120 observer-minutes	2004/12/19	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041219:M2	BFSA:LTBCC:20041219:M2	BFSA:LTBCC:20041219	Total Count	83	hectare	40 observer-minutes	2004/12/19	16:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20041219:J2	BFSA:LTBCC:20041219:J2	BFSA:LTBCC:20041219	Line Transect	150	metre	25 observer-minutes	2004/12/19	09:10+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041219:J3	BFSA:LTBCC:20041219:J3	BFSA:LTBCC:20041219	Line Transect	450	metre	40 observer-minutes	2004/12/19	09:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041219:E1	BFSA:LTBCC:20041219:E1	BFSA:LTBCC:20041219	Total Count	12	hectare	320 observer-minutes	2004/12/19	08:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041219:D1	BFSA:LTBCC:20041219:D1	BFSA:LTBCC:20041219	Total Count	20	hectare	80 observer-minutes	2004/12/19	13:10+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041219:D2	BFSA:LTBCC:20041219:D2	BFSA:LTBCC:20041219	Total Count	20	hectare	60 observer-minutes	2004/12/19	13:30+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20050102:M1	BFSA:LTBCC:20050102:M1	BFSA:LTBCC:20050102	Total Count	98	hectare	180 observer-minutes	2005/1/2	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20050102:M2	BFSA:LTBCC:20050102:M2	BFSA:LTBCC:20050102	Total Count	83	hectare	60 observer-minutes	2005/1/2	16:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20050102:J2	BFSA:LTBCC:20050102:J2	BFSA:LTBCC:20050102	Line Transect	150	metre	80 observer-minutes	2005/1/2	08:30+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20050102:J3	BFSA:LTBCC:20050102:J3	BFSA:LTBCC:20050102	Line Transect	450	metre	90 observer-minutes	2005/1/2	09:15+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20050102:E1	BFSA:LTBCC:20050102:E1	BFSA:LTBCC:20050102	Total Count	12	hectare	140 observer-minutes	2005/1/2	10:20+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20050102:D1	BFSA:LTBCC:20050102:D1	BFSA:LTBCC:20050102	Total Count	20	hectare	60 observer-minutes	2005/1/2	10:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20050102:D2	BFSA:LTBCC:20050102:D2	BFSA:LTBCC:20050102	Total Count	20	hectare	60 observer-minutes	2005/1/2	11:10+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20050116:M1	BFSA:LTBCC:20050116:M1	BFSA:LTBCC:20050116	Total Count	98	hectare	300 observer-minutes	2005/1/16	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20050116:M2	BFSA:LTBCC:20050116:M2	BFSA:LTBCC:20050116	Total Count	83	hectare	100 observer-minutes	2005/1/16	16:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
