trendEventID,occurrenceID,eventID
2011_J3,BFSA:LTBCC:20110109:0013,BFSA:LTBCC:20110109:J3
2011_J3,BFSA:LTBCC:20110109:0014,BFSA:LTBCC:20110109:J3
2011_J3,BFSA:LTBCC:20110109:0015,BFSA:LTBCC:20110109:J3
2011_J3,BFSA:LTBCC:20110109:0016,BFSA:LTBCC:20110109:J3
2011_J3,BFSA:LTBCC:20110109:0017,BFSA:LTBCC:20110109:J3
2011_E1,BFSA:LTBCC:20110109:0018,BFSA:LTBCC:20110109:E1
2011_E1,BFSA:LTBCC:20110109:0019,BFSA:LTBCC:20110109:E1
2011_E1,BFSA:LTBCC:20110109:0020,BFSA:LTBCC:20110109:E1
2011_E1,BFSA:LTBCC:20110109:0021,BFSA:LTBCC:20110109:E1
2011_E1,BFSA:LTBCC:20110109:0022,BFSA:LTBCC:20110109:E1
2011_E1,BFSA:LTBCC:20110109:0023,BFSA:LTBCC:20110109:E1
2011_E2,BFSA:LTBCC:20110109:0024,BFSA:LTBCC:20110109:E2
2011_E2,BFSA:LTBCC:20110109:0025,BFSA:LTBCC:20110109:E2
2011_E2,BFSA:LTBCC:20110109:0026,BFSA:LTBCC:20110109:E2
2011_L0,BFSA:LTBCC:20110122:0001,BFSA:LTBCC:20110122:L0
2011_L0,BFSA:LTBCC:20110122:0002,BFSA:LTBCC:20110122:L0
2011_L0,BFSA:LTBCC:20110122:0003,BFSA:LTBCC:20110122:L0
2011_L0,BFSA:LTBCC:20110122:0004,BFSA:LTBCC:20110122:L0
2011_M1,BFSA:LTBCC:20110122:0005,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0006,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0007,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0008,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0009,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0010,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0011,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0012,BFSA:LTBCC:20110122:M1
2011_M1,BFSA:LTBCC:20110122:0013,BFSA:LTBCC:20110122:M1
2011_M2,BFSA:LTBCC:20110122:0014,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0015,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0016,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0017,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0018,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0019,BFSA:LTBCC:20110122:M2
2011_M2,BFSA:LTBCC:20110122:0020,BFSA:LTBCC:20110122:M2
2011_J2,BFSA:LTBCC:20110122:0021,BFSA:LTBCC:20110122:J2
2011_J2,BFSA:LTBCC:20110122:0022,BFSA:LTBCC:20110122:J2
